rank,civ,games,winrate_pct
1,Slavs,395,58
2,Georgians,149,57
3,Persians,315,57
4,Hindustanis,318,56
5,Poles,326,56
6,Berbers,338,55
7,Malians,344,54
8,Celts,358,53
9,Huns,341,53
10,Khitans,93,53
11,Khmer,326,53
12,Saracens,339,53
13,Gurjaras,346,52
14,Koreans,313,52
15,Romans,193,52
16,Sicilians,308,52
17,Spanish,343,52
18,Bulgarians,334,51
19,Chinese,342,51
20,Franks,350,51
21,Vikings,331,51
22,Armenians,123,50
23,Burgundians,292,50
24,Goths,313,50
25,Magyars,333,50
26,Teutons,327,50
27,Bengalis,339,49
28,Cumans,291,49
29,Ethiopians,314,49
30,Inca,314,49
31,Lithuanians,336,49
32,Malay,372,49
33,Vietnamese,335,49
34,Wei,85,49
35,Burmese,358,48
36,Turks,331,48
37,Byzantines,303,47
38,Italians,348,47
39,Japanese,327,47
40,Maya,357,47
41,Mongols,331,47
42,Shu,100,47
43,Aztecs,300,46
44,Bohemians,341,46
45,Tatars,319,46
46,Portuguese,334,45
47,Britons,330,44
48,Wu,81,44
49,Dravidians,326,42
50,Jurchens,107,36
