user_id,nick,current_rating,alt_rating,alt_deviation,games,branch_date,computed_date
527532506153615360,aquasama7056,2789,2676,75,344,2025-11-17,2026-06-16
238042803093897216,fenrir05,2113,2163,171,46,2025-11-17,2026-06-16
573073267766722561,Thiru,2000,2000,200,751,2025-11-17,2026-06-16
458557005385302026,aadvanced,1844,1850,163,216,2025-11-17,2026-06-16
284337490712592386,srinimama,1800,1800,200,9,2025-11-17,2026-06-16
1241745368077697135,rcbfan009,1800,1800,200,207,2025-11-17,2026-06-16
555011931488911374,Chennai Manikam,1983,1799,75,752,2025-11-17,2026-06-16
1033770965127135333,M1k3,1779,1771,75,1171,2025-11-17,2026-06-16
649505118152294421,tyPo Fan,1585,1605,78,565,2025-11-17,2026-06-16
1188546491204247643,vishal07163,1600,1600,200,1,2025-11-17,2026-06-16
1215696184048492608,aravind2608,1600,1600,70,0,2025-11-17,2026-06-16
509251341105889280,Shadeslayer,1537,1572,125,879,2025-11-17,2026-06-16
1367429499297202176,primezxstar,1446,1465,186,11,2025-11-17,2026-06-16
622810653878648873,ddk,1410,1444,75,624,2025-11-17,2026-06-16
470492953983582219,mrwrong,1400,1400,200,4,2025-11-17,2026-06-16
635025856313557033,sultan2384,1400,1400,200,5,2025-11-17,2026-06-16
695276693362835466,f33d3r.raj,1400,1400,200,1397,2025-11-17,2026-06-16
699611550423711766,saracen117,1400,1400,200,1,2025-11-17,2026-06-16
751100943218507815,aravind2705,1200,1400,200,278,2025-11-17,2026-06-16
766331860803780629,lotterymartin,1400,1400,200,117,2025-11-17,2026-06-16
1104364176668905622,tokenbadteam,1400,1400,200,40,2025-11-17,2026-06-16
695309066771365970,thelivi,1364,1392,75,1284,2025-11-17,2026-06-16
853696992027082782,xpm,1300,1300,200,0,2025-11-17,2026-06-16
435111409320198167,Dark De Bruyne,1215,1219,75,710,2025-11-17,2026-06-16
358570022400032768,lucky23,1200,1200,200,2,2025-11-17,2026-06-16
584450667897290784,vish,1200,1200,200,0,2025-11-17,2026-06-16
714793302582362162,justkiddingaoe,1200,1200,200,11,2025-11-17,2026-06-16
940906559691714580,bladey2399,1200,1200,200,6,2025-11-17,2026-06-16
1109131980911693885,typo,1200,1200,200,0,2025-11-17,2026-06-16
1229885069217370293,Blitz,1200,1200,200,10,2025-11-17,2026-06-16
1024061084233125888,venomaoe4u,1147,1175,75,691,2025-11-17,2026-06-16
354904864066764804,centurion12,1133,1171,93,1082,2025-11-17,2026-06-16
786488329864478751,guruGreatest,1068,1140,75,427,2025-11-17,2026-06-16
929739899089862657,Chittappu,928,1054,75,703,2025-11-17,2026-06-16
512487301717295104,wardaddy6968,1098,1044,75,208,2025-11-17,2026-06-16
716317624790679613,wallandboom,861,1031,75,140,2025-11-17,2026-06-16
469499463640023051,dosa7368,903,1014,173,57,2025-11-17,2026-06-16
511604233267707925,feedertony,958,1002,143,636,2025-11-17,2026-06-16
328978193312776212,xpm0083,1000,1000,200,401,2025-11-17,2026-06-16
472428846747222057,emperor0737,1000,1000,200,1,2025-11-17,2026-06-16
510692606913806340,Blitz,1000,1000,200,0,2025-11-17,2026-06-16
650038634845700137,flabbybuffaloo,1000,1000,200,0,2025-11-17,2026-06-16
720985032155594802,crazyguy0505,1000,1000,200,14,2025-11-17,2026-06-16
759153260136366131,.asoca,1000,1000,200,0,2025-11-17,2026-06-16
782878859028463616,aaseev.,1000,1000,200,0,2025-11-17,2026-06-16
1011806774598320208,Flaming Camel,1000,1000,200,2,2025-11-17,2026-06-16
1014912241809752175,cryptomonster111,1000,1000,200,1,2025-11-17,2026-06-16
1303302686023749672,ebybosco,1000,1000,200,0,2025-11-17,2026-06-16
581434797117669386,I'm Dead Guyzzz...,871,989,75,887,2025-11-17,2026-06-16
721742526062526484,bloodless.,857,965,75,300,2025-11-17,2026-06-16
828672992976437267,sundar7238,879,963,75,1137,2025-11-17,2026-06-16
375673637887410177,ImVaibhav,966,929,75,174,2025-11-17,2026-06-16
562890267125088256,flareblitzv,943,920,102,116,2025-11-17,2026-06-16
463259002596360203,trush25,818,893,82,35,2025-11-17,2026-06-16
739435983707308062,BoomOrDie,755,888,84,1114,2025-11-17,2026-06-16
463000325184552971,omega5347,815,868,200,1,2025-11-17,2026-06-16
176859391922929664,balamk,751,857,92,21,2025-11-17,2026-06-16
1442360508832419881,saif55784,850,850,200,0,2025-11-17,2026-06-16
354347153201692694,MuttonKuska,808,849,75,489,2025-11-17,2026-06-16
715923016412037221,Gajini,792,846,75,1568,2025-11-17,2026-06-16
782600243174309888,kalkioffl,800,800,200,0,2025-11-17,2026-06-16
803508524947996693,teamgbest,800,800,200,0,2025-11-17,2026-06-16
503759402206101545,newisyou,703,798,105,254,2025-11-17,2026-06-16
1010781418458206329,tYpo,693,773,75,1639,2025-11-17,2026-06-16
1164596393650954311,Kaipullae,598,693,75,560,2025-11-17,2026-06-16
498126315736530944,mirakaaa,682,682,200,9,2025-11-17,2026-06-16
0,balamk,692,665,156,14,2025-11-17,2026-06-16
759675663770452008,reubenthomas05,650,650,200,6,2025-11-17,2026-06-16
284349270151397376,guerrillawarfare2,648,648,200,327,2025-11-17,2026-06-16
410861479089405961,tanvirx123,545,630,158,3,2025-11-17,2026-06-16
786994036204240926,harman92subrinsky,627,627,200,1,2025-11-17,2026-06-16
354990093980663809,zasz,619,619,200,441,2025-11-17,2026-06-16
517031480669765673,overlordageofempires,616,616,200,1,2025-11-17,2026-06-16
797796953269338133,stylishsteam,528,608,82,388,2025-11-17,2026-06-16
463788400831365130,richik0,541,541,200,1,2025-11-17,2026-06-16
624851963393343488,rusher,500,535,200,20,2025-11-17,2026-06-16
788890794257678346,tamizhanda143,523,523,200,1,2025-11-17,2026-06-16
564854008095703051,jerryephrame,500,500,200,9,2025-11-17,2026-06-16
1367431500194254891,rk005,500,500,200,3,2025-11-17,2026-06-16
736088924115435550,thundubeedi,475,475,200,278,2025-11-17,2026-06-16
295006655702237184,ninjavarier,241,461,75,247,2025-11-17,2026-06-16
679620654412201994,tanjideku,332,446,96,34,2025-11-17,2026-06-16
1093481859607957514,thiyagup,445,445,200,157,2025-11-17,2026-06-16
1379889206922317876,mr.rabbit00080939,420,420,200,1,2025-11-17,2026-06-16
847020245117435904,asura2734,393,393,200,1,2025-11-17,2026-06-16
457232688357572640,achieverprince,271,271,200,1,2025-11-17,2026-06-16
-2147838640,gaarathekazekage10,223,252,193,1,2025-11-17,2026-06-16
713450002642370612,gaarathekazekage10,223,194,193,1,2025-11-17,2026-06-16
465835842808709120,drgameher,72,193,120,138,2025-11-17,2026-06-16
903334374920060939,shervy,152,177,200,2,2025-11-17,2026-06-16
524295101359456256,silentdeath4869,159,159,200,2,2025-11-17,2026-06-16
850996190282776577,bearknightman,82,107,200,4,2025-11-17,2026-06-16
521270139044495370,navin3087,100,100,200,1,2025-11-17,2026-06-16
1190898672221827190,sato01791,50,50,200,1,2025-11-17,2026-06-16
