civ,games,winrate,games_player_elo_above_1000,winrate_player_elo_above_1000,games_player_elo_below_1000,winrate_player_elo_below_1000,games_team_elo_above_1100,winrate_team_elo_above_1100,games_team_elo_below_1100,winrate_team_elo_below_1100
Armenians,123,0.50,92,0.53,31,0.39,93,0.47,30,0.57
Aztecs,300,0.46,195,0.47,105,0.46,228,0.45,72,0.50
Bengalis,339,0.49,224,0.46,115,0.57,254,0.50,85,0.46
Berbers,338,0.55,191,0.54,147,0.56,243,0.55,95,0.56
Bohemians,341,0.46,222,0.43,119,0.53,267,0.46,74,0.46
Britons,330,0.44,203,0.42,127,0.46,245,0.42,85,0.48
Bulgarians,334,0.51,212,0.50,122,0.53,254,0.50,80,0.54
Burgundians,292,0.50,174,0.49,118,0.50,201,0.48,91,0.54
Burmese,358,0.48,244,0.46,114,0.53,274,0.46,84,0.55
Byzantines,303,0.47,202,0.47,101,0.47,229,0.48,74,0.41
Celts,358,0.53,238,0.53,120,0.51,263,0.52,95,0.53
Chinese,342,0.51,225,0.52,117,0.49,271,0.52,71,0.44
Cumans,291,0.49,175,0.46,116,0.54,200,0.52,91,0.44
Dravidians,326,0.42,227,0.43,99,0.40,243,0.42,83,0.45
Ethiopians,314,0.49,205,0.47,109,0.54,236,0.50,78,0.47
Franks,350,0.51,232,0.50,118,0.53,275,0.51,75,0.49
Georgians,149,0.57,109,0.56,40,0.60,104,0.55,45,0.62
Goths,313,0.50,201,0.51,112,0.46,228,0.56,85,0.33
Gurjaras,346,0.52,219,0.49,127,0.57,247,0.50,99,0.56
Hindustanis,318,0.56,225,0.58,93,0.52,236,0.58,82,0.51
Huns,341,0.53,214,0.50,127,0.58,245,0.51,96,0.58
Inca,314,0.49,204,0.48,110,0.53,237,0.49,77,0.52
Italians,348,0.47,231,0.48,117,0.43,269,0.46,79,0.48
Japanese,327,0.47,220,0.48,107,0.45,245,0.45,82,0.52
Jurchens,107,0.36,76,0.36,31,0.35,71,0.38,36,0.31
Khitans,93,0.53,68,0.49,25,0.64,66,0.59,27,0.37
Khmer,326,0.53,222,0.53,104,0.54,237,0.52,89,0.56
Koreans,313,0.52,205,0.51,108,0.53,223,0.52,90,0.52
Lithuanians,336,0.49,239,0.48,97,0.51,246,0.48,90,0.50
Magyars,333,0.50,204,0.45,129,0.57,231,0.46,102,0.57
Malay,372,0.49,238,0.53,134,0.43,272,0.47,100,0.55
Malians,344,0.54,224,0.53,120,0.56,243,0.53,101,0.56
Mapuche,10,0.50,9,0.44,1,1.00,6,0.67,4,0.25
Maya,357,0.47,241,0.46,116,0.49,277,0.47,80,0.47
Mongols,331,0.47,211,0.47,120,0.47,236,0.47,95,0.46
Muisca,6,0.83,3,0.67,3,1.00,2,0.50,4,1.00
Persians,315,0.57,193,0.58,122,0.56,233,0.56,82,0.61
Poles,326,0.56,216,0.59,110,0.51,242,0.58,84,0.51
Portuguese,334,0.45,233,0.43,101,0.49,246,0.46,88,0.41
Romans,193,0.52,157,0.52,36,0.50,162,0.49,31,0.65
Saracens,339,0.53,238,0.51,101,0.58,261,0.53,78,0.54
Shu,100,0.47,68,0.50,32,0.41,80,0.47,20,0.45
Sicilians,308,0.52,195,0.52,113,0.53,219,0.50,89,0.57
Slavs,395,0.58,272,0.58,123,0.58,285,0.55,110,0.65
Spanish,343,0.52,223,0.51,120,0.55,253,0.52,90,0.54
Tatars,319,0.46,213,0.46,106,0.46,236,0.46,83,0.47
Teutons,327,0.50,199,0.52,128,0.46,233,0.51,94,0.47
Tupi,15,0.73,9,0.78,6,0.67,11,0.73,4,0.75
Turks,331,0.48,227,0.47,104,0.49,229,0.47,102,0.49
Vietnamese,335,0.49,211,0.51,124,0.45,248,0.48,87,0.53
Vikings,331,0.51,222,0.52,109,0.50,242,0.46,89,0.65
Wei,85,0.49,52,0.44,33,0.58,54,0.50,31,0.48
Wu,81,0.44,62,0.44,19,0.47,50,0.42,31,0.48
