profile_id,user_id,nick,aoe2_name,source,appearances
12297184,786488329864478751,guruGreatest,GuruGreatest,seed,31
2083497,715923016412037221,Gajini,Gajini,seed,27
3937482,1010781418458206329,tyPo,mutanT,seed,27
15431072,581434797117669386,I'm Dead Guyzzz...,vetrierai,seed,23
4984526,354347153201692694,MuttonKuska,mutton_kuska,seed,21
2876149,929739899089862657,TiShi,TiShi,seed,20
2441496,435111409320198167,Dark De Bruyne,Dark_Knight,seed,19
7992697,1033770965127135333,M1k3,M1k3 Chan!,seed,19
17841676,695309066771365970,thelivi,Mr.Livi,elim,19
612690,622810653878648873,ddk,ddk220,seed,17
2838261,828672992976437267,sundar7238,Maximus,seed,16
5925393,1164596393650954311,Kaipullae,Kaipullae,seed,15
572601,503759402206101545,newisyou,newisyou,seed,13
19236842,555011931488911374,Chennai Manikam,Harry,seed,10
4843062,716317624790679613,wallandboom,WallAndBoom,seed,9
1590954,509251341105889280,Shadeslayer,Shadeslayer II,seed,9
5859931,465835842808709120,drgameher,DrGameHer,seed,8
7499537,721742526062526484,bloodless.,MR.Jithu,elim,8
6823812,527532506153615360,aquasama7056,Aqua Sama,elim,7
1314165,649505118152294421,tyPo Fan,Arkantos12,seed,6
2669967,295006655702237184,ninjavarier,ninjavarier,seed,5
3153454,463259002596360203,trush25,TRush,seed,5
4988010,679620654412201994,tanjideku,TanjiDeku,elim,4
4434290,1104364176668905622,tokenbadteam,Baby,seed,4
18419878,624851963393343488,rusher,RusheR,seed,4
2704967,1024061084233125888,venomaoe4u,Venom,elim,3
3446474,797796953269338133,stylishsteam,Ste@|\/|,seed,3
209754,238042803093897216,fenrir05,Fenrir,seed,3
4322802,739435983707308062,BoomOrDie,BloODrAin,elim,2
2579325,695276693362835466,f33d3r.raj,F33D3R.Raj,elim,2
2093241,354904864066764804,centurion12,centurion,seed,2
9039952,527532506153615360,aquasama7056,KiTz,elim,2
22123263,375673637887410177,ImVaibhav,ImVaibhav,seed,2
22035298,176859391922929664,balamk,BALA,elim,2
5974753,498126315736530944,mirakaaa,Mirakaa,elim,1
3584491,751100943218507815,aravind2705,toothless,elim,1
24413606,,,一般般,unmapped,1
18502949,,,fernando_najera_90,unmapped,1
787286,,,LeoABNV,unmapped,1
1770168,,,timembh,unmapped,1
17036083,,,The_OFLi,unmapped,1
5678910,,,kevin980034,unmapped,1
10116268,,,joosephy,unmapped,1
