"user_id","nick","is_hidden","rating","deviation","wins","losses","draws","streak"
238042803093897216,fenrir05,0,1877,144,23,20,0,2
284337490712592386,srinimama,0,1800,124,3,5,1,-1
284349270151397376,guerrillawarfare2,0,803,105,162,165,0,1
295006655702237184,ninjavarier,0,446,100,103,124,0,1
328978193312776212,xpm0083,0,1045,100,194,207,0,1
354347153201692694,MuttonKuska,0,678,100,191,200,2,2
354904864066764804,centurion12,0,1249,100,541,525,1,1
354990093980663809,zasz,0,774,100,222,217,2,2
358570022400032768,lucky23,0,1258,175,1,1,0,1
375673637887410177,ImVaibhav,0,947,100,82,74,0,2
435111409320198167,Dark De Bruyne,0,1169,100,316,324,3,2
457232688357572640,achieverprince,1,271,200,1,0,0,1
458557005385302026,aadvanced,0,1800,131,118,93,2,3
463259002596360203,trush25,0,850,100,13,13,0,-1
463788400831365130,richik0,0,696,187,0,1,0,-1
465835842808709120,drgameher,0,19,100,38,65,0,1
469499463640023051,dosa7368,0,1000,118,22,30,0,2
470492953983582219,mrwrong,0,1400,157,1,3,0,-3
472428846747222057,emperor0737,0,1000,200,0,0,0,0
498126315736530944,mirakaaa,0,837,129,5,4,0,1
503759402206101545,newisyou,0,861,100,100,106,0,-2
509251341105889280,Shadeslayer,0,1570,100,426,431,1,-2
510692606913806340,Blitz,0,1000,200,0,0,0,0
511604233267707925,feedertony,0,1000,100,305,323,3,3
512487301717295104,wardaddy6968,0,1200,100,78,89,0,3
517031480669765673,overlordageofempires,0,771,185,0,1,0,-1
521270139044495370,navin3087,0,100,181,0,1,0,-1
524295101359456256,silentdeath4869,0,159,199,1,1,0,-1
527532506153615360,aquasama7056,0,2775,100,187,109,0,4
555011931488911374,Chennai Manikam,0,1804,100,379,330,2,-1
562890267125088256,flareblitzv,0,954,100,55,51,0,-1
564854008095703051,jerryephrame,0,586,127,3,6,0,-2
573073267766722561,Thiru,0,2142,100,395,355,1,-1
581434797117669386,I'm Dead Guyzzz...,0,1240,100,371,370,4,-1
584450667897290784,vish,0,1200,200,0,0,0,0
622810653878648873,ddk,0,1538,100,271,272,1,3
624851963393343488,rusher,0,692,113,7,6,0,-1
635025856313557033,sultan2384,0,1400,150,2,3,0,-1
649505118152294421,tyPo Fan,0,1612,100,296,249,1,-1
650038634845700137,flabbybuffaloo,0,1000,200,0,0,0,0
679620654412201994,tanjideku,0,372,100,8,11,0,1
695276693362835466,f33d3r.raj,0,1450,100,703,691,3,1
695309066771365970,thelivi,0,1608,100,594,593,5,-1
699611550423711766,saracen117,0,1400,186,0,1,0,-1
714793302582362162,justkiddingaoe,0,1237,119,6,5,0,-1
715923016412037221,Gajini,0,535,100,709,752,5,3
716317624790679613,wallandboom,0,1005,100,48,44,0,-1
720985032155594802,crazyguy0505,0,1000,121,5,9,0,1
721742526062526484,bloodless.,0,1017,100,113,102,0,1
736088924115435550,thundubeedi,0,475,100,123,154,1,-9
739435983707308062,BoomOrDie,0,869,100,539,554,5,-2
751100943218507815,aravind2705,0,1301,100,132,146,0,-1
759153260136366131,.asoca,0,1000,200,0,0,0,0
759675663770452008,reubenthomas05,1,805,153,2,4,0,-4
766331860803780629,lotterymartin,1,1400,100,58,56,1,1
782600243174309888,kalkioffl,0,800,200,0,0,0,0
782878859028463616,aaseev.,0,1000,200,0,0,0,0
786488329864478751,guruGreatest,0,1037,100,131,121,1,-3
786994036204240926,harman92subrinsky,0,782,186,0,1,0,-1
788890794257678346,tamizhanda143,0,678,186,0,1,0,-1
797796953269338133,stylishsteam,0,523,100,170,202,0,2
803508524947996693,teamgbest,0,800,200,0,0,0,0
828672992976437267,sundar7238,0,1034,100,528,549,2,2
847020245117435904,asura2734,0,393,184,0,1,0,-1
850996190282776577,bearknightman,0,194,174,0,2,0,-2
853696992027082782,xpm,1,1300,200,0,0,0,0
929739899089862657,TiShi,0,989,100,305,303,1,1
940906559691714580,bladey2399,0,1200,145,2,4,0,-3
1010781418458206329,tyPo,0,879,100,749,767,4,1
1011806774598320208,Flaming Camel,0,1000,187,1,0,0,1
1014912241809752175,cryptomonster111,0,1000,185,1,0,0,1
1024061084233125888,venomaoe4u,0,1115,100,322,332,2,-3
1033770965127135333,M1k3,0,1714,100,539,536,3,2
1093481859607957514,thiyagup,0,445,100,68,89,0,-1
1104364176668905622,tokenbadteam,0,1464,100,24,14,1,-1
1109131980911693885,typo,0,1200,200,0,0,0,0
1164596393650954311,Kaipullae,0,713,100,245,243,2,-1
1188546491204247643,vishal07163,0,1600,186,1,0,0,1
1190898672221827190,sato01791,0,500,186,0,1,0,-1
1215696184048492608,aravind2608,0,1600,70,0,0,0,0
1229885069217370293,Blitz,0,1223,141,7,3,0,-1
1241745368077697135,rcbfan009,0,1800,100,114,92,1,-3
1367429499297202176,primezxstar,0,1460,125,4,6,0,1
1367431500194254891,rk005,0,612,165,2,1,0,2
1379889206922317876,mr.rabbit00080939,0,420,186,0,1,0,-1
